kind,ok,status,dur_s,tokens,bytes,error
health,1,200,0.6708,0,0,
stream,0,503,0.6504,0,52,
chat,0,503,0.7005,0,0,HTTP 503
stream,0,503,0.6964,0,52,
stream,0,503,1.0299,0,52,
stream,1,200,1.0054,8,1538,
stream,0,503,0.3908,0,52,
chat,0,503,0.3750,0,0,HTTP 503
stream,0,503,0.3538,0,52,
stream,1,200,2.1736,26,4958,
chat,0,503,0.1156,0,0,HTTP 503
health,1,200,0.1055,0,0,
chat,0,503,0.2767,0,0,HTTP 503
chat,0,503,0.1040,0,0,HTTP 503
summary,1,200,3.4639,0,0,
stream,1,200,3.7140,6,1154,
chat,1,200,2.1128,0,0,
chat,0,503,0.1087,0,0,HTTP 503
chat,0,503,0.0965,0,0,HTTP 503
chat,0,503,0.0978,0,0,HTTP 503
stream,0,503,0.1012,0,52,
health,1,200,0.0945,0,0,
stream,0,503,0.1110,0,52,
chat,0,503,0.2729,0,0,HTTP 503
stream,0,503,0.0986,0,52,
summary,1,200,3.5271,0,0,
chat,0,503,0.1023,0,0,HTTP 503
stream,0,503,0.1166,0,52,
stream,0,503,0.1590,0,52,
stream,0,503,0.1635,0,52,
stream,0,503,0.0982,0,52,
summary,1,200,3.5920,0,0,
stream,0,503,0.1055,0,52,
chat,0,503,0.1027,0,0,HTTP 503
stream,0,503,0.1010,0,52,
chat,0,503,0.1139,0,0,HTTP 503
chat,0,503,0.1570,0,0,HTTP 503
health,1,200,0.3059,0,0,
stream,0,503,0.1009,0,52,
chat,1,200,3.8542,0,0,
stream,0,503,0.1536,0,52,
stream,0,503,0.1017,0,52,
chat,0,503,0.1020,0,0,HTTP 503
chat,0,503,0.1818,0,0,HTTP 503
stream,0,503,0.1009,0,52,
chat,1,200,4.1885,0,0,
health,1,200,0.1451,0,0,
summary,1,200,2.9975,0,0,
health,1,200,0.2942,0,0,
summary,1,200,4.6810,0,0,
chat,0,503,0.1071,0,0,HTTP 503
summary,1,200,5.8079,0,0,
health,1,200,0.1074,0,0,
stream,0,503,0.1020,0,52,
summary,1,200,6.2012,0,0,
chat,0,503,0.1757,0,0,HTTP 503
health,1,200,0.1932,0,0,
summary,1,200,7.2520,0,0,
summary,1,200,8.2034,0,0,
health,1,200,0.1430,0,0,
stream,0,503,0.3913,0,52,
chat,0,503,0.3727,0,0,HTTP 503
stream,1,200,10.3132,59,11191,
health,1,200,0.0949,0,0,
summary,1,200,11.2818,0,0,
chat,0,503,0.3527,0,0,HTTP 503
stream,0,503,0.1908,0,52,
stream,0,503,0.1051,0,52,
health,1,200,0.1489,0,0,
summary,1,200,12.2941,0,0,
chat,1,200,9.0838,0,0,
chat,0,503,0.1242,0,0,HTTP 503
stream,0,503,0.1142,0,52,
health,1,200,0.1088,0,0,
stream,0,503,0.1004,0,52,
summary,1,200,10.2056,0,0,
chat,0,503,0.1014,0,0,HTTP 503
health,1,200,0.1098,0,0,
summary,1,200,10.6636,0,0,
chat,0,503,0.1417,0,0,HTTP 503
stream,0,503,0.1015,0,52,
summary,1,200,11.2639,0,0,
health,1,200,0.0964,0,0,
chat,1,200,9.2978,0,0,
stream,0,503,0.6838,0,52,
summary,1,200,8.3593,0,0,
health,1,200,0.1040,0,0,
chat,0,503,0.1175,0,0,HTTP 503
chat,0,503,0.1004,0,0,HTTP 503
stream,0,503,0.1925,0,52,
chat,0,503,0.1013,0,0,HTTP 503
summary,1,200,9.1364,0,0,
stream,0,503,0.1966,0,52,
health,1,200,0.1073,0,0,
chat,0,503,0.1055,0,0,HTTP 503
stream,0,503,0.1736,0,52,
summary,1,200,10.1014,0,0,
chat,0,503,0.1484,0,0,HTTP 503
chat,0,503,0.0987,0,0,HTTP 503
stream,0,503,0.1093,0,52,
health,1,200,0.1080,0,0,
chat,0,503,0.0979,0,0,HTTP 503
stream,0,503,0.1436,0,52,
chat,0,503,0.0970,0,0,HTTP 503
chat,0,503,0.1117,0,0,HTTP 503
stream,0,503,0.1111,0,52,
stream,0,503,0.1054,0,52,
health,1,200,0.2580,0,0,
summary,1,200,11.3808,0,0,
stream,0,503,0.1588,0,52,
stream,0,503,0.1552,0,52,
stream,0,503,0.1034,0,52,
summary,1,200,11.1525,0,0,
stream,0,503,0.1045,0,52,
stream,0,503,0.1075,0,52,
chat,0,503,0.1604,0,0,HTTP 503
health,1,200,0.1011,0,0,
chat,0,503,0.0994,0,0,HTTP 503
stream,0,503,0.1413,0,52,
summary,1,200,10.7522,0,0,
stream,1,200,10.5826,6,1154,
stream,0,503,0.2927,0,52,
chat,0,503,0.0980,0,0,HTTP 503
health,1,200,0.1423,0,0,
stream,0,503,0.1094,0,52,
stream,0,503,0.1026,0,52,
summary,1,200,9.0632,0,0,
stream,0,503,0.3772,0,52,
chat,0,503,0.3415,0,0,HTTP 503
health,1,200,0.2356,0,0,
stream,1,200,8.5442,26,4958,
stream,0,503,0.1873,0,52,
chat,0,503,0.1034,0,0,HTTP 503
chat,0,503,0.2910,0,0,HTTP 503
chat,0,503,0.1090,0,0,HTTP 503
chat,0,503,0.0986,0,0,HTTP 503
stream,0,503,0.1067,0,52,
summary,1,200,7.1875,0,0,
summary,1,200,8.3217,0,0,
summary,1,200,9.4175,0,0,
chat,1,200,8.9540,0,0,
chat,1,200,9.0175,0,0,
