kind,ok,status,dur_s,tokens,bytes,error
stream,0,,0.1694,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
health,0,,0.1944,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.2049,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1968,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.2079,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
summary,0,,0.2090,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.2405,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.2753,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.3134,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0899,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1001,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.0976,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0954,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
stream,0,,0.0856,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
chat,0,,0.1178,0,0,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '%3Cpod%3E-8000.proxy.runpod.net'. (_ssl.c:1028)"
